plot,matched_tropes
"One man’s broken relationship with his son fills him with the desire to give the young boys in his town hope and confidence. He seeks to accomplish this by forming a baseball team to involve both fathers and sons in it. Without knowing it, his actions will also bless and bring a new meaning in life to the father of one of the boys, a man serving a life sentence in the local penitentiary. The townspeople are powerfully changed as fathers reunite with their sons and realize their own ability to be one good man.","['father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men']"
An outlaw masquerades as a blind man's son in order to trick him into a cache of Gold. After a while he grows attached to the family and all goes well until the outlaws gang comes through town...,"['retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw']"
"Dirty is a raw, hard-edged story of Officer Armando Sancho , a former Mal Creado  gang member who is forced to choose between his conscience and his loyalty. Recruited into an undercover, anti-gang unit of the LAPD, Sancho brings his street smarts onto the force that he has sworn to protect. With his partner Salim Adel , the two patrol LA's streets the only way they know how—with force. But there is nothing more dangerous than a gangster with a badge and when the two come under fire, only one will come out alive.","['dirty_cop', 'dirty_cop', 'dirty_cop', 'dirty_cop', 'dirty_cop', 'dirty_cop', 'dirty_cop']"
"The leader of the Kong Tung clan is Yen Chan Ying , a ruthless warlord who is master of 26 styles which gives him a tremendous advantage over normal martial artists. One day a proud man dares to step forth and speak against Yen Chan Ying’s villainy. Sadly, the man’s fighting skills are not as immense as his bravery and he goes down to Yen Chan Ying like so many others before him. The man’s family members deliver his infant son to the nearby Abbot  who in turn takes the baby to the well-to-do clan of Chen Yung , an honorable Kung Fu instructor who owes the baby’s father a debt of gratitude. The Abbot informs Chen Yung to raise the boy as a warrior to take revenge on his father’s killer, and hands him a special book to train him in the Iron Body style. One day while Chen Yung labors over the kids training, he leaves his family unprotected. This allows Yen Chan Ying to kill the rest of his clan. The obsessed Chen Yung now plans to use the kid, now called Tiger, to take revenge for not only himself, but Tiger’s father as well. The kid quickly grows into a young man who displays considerable invulnerability and martial arts abilities. Chen Yung keeps training Tiger intensely until his 18th birthday, and all this hard work has left him cold. Tiger doesn’t have a normal life like most young men as he is constantly focused on Kung Fu. He winds up leaving Chen Young’s palace and exploring the life in the nearby village. Chen Yung’s daughter, Lin Erh  follows him into the town. Meanwhile, Yen Chan Ying crosses paths with Chen Yung in the woods, and the two elders fight for supremecy. Yen Chan Ying kills his opponent and when Tiger hears about this, he promises to eliminate the killer of his adopted father. Lin Erh also pledges her life to seek justice for her father’s death. Tiger asks the Abbott for advice, and the Abbot sends him to Tai Shing Temple to seek out the legendary manual of Kung Fu. With it, his skills would even over power the great Yen Chan Ying. Inside the temple are numerous death traps and one must use their ingenuity and martial arts skills to make it through the maze-like interiors. No one has ever made it through the Tai Shing Temple alive. Tiger was trained since birth to become a super human fighting machine and he must use every skill that he has learned if he is to make it through this temple of doom and secure the mystical Kung Fu manual!","['arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy']"
"Zatōichi, the expert blind swordsman and masseur is hired to massage a powerful political leader. When Zatōichi learns of the nobleman's unstable mental condition, his followers are determined to kill him to keep their leader's condition a secret. After the master swordsman has defeated the attackers, Zatōichi must face Yoshirō, a much-feared one-armed swordsman with whom the blind masseur has an unexpected connection.{{cite web}}<ref name  http://www.kinejun.jp/cinema/id/20878|title2010-01-19|languageKinema Junpo}}","['master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman', 'master_swordsman']"
"Led by Denise , the dumb blonde that isn't as dumb as you think, a party of holiday-makers, all of them, except one, women, become lost in an island jungle and stalked by a deranged tribe of murderous natives. A feminist , a mother , her daughter  and a swinging smooth operator  round out the other endangered tourists.","['dumb_blonde', 'dumb_blonde', 'dumb_blonde', 'dumb_blonde', 'dumb_blonde', 'dumb_blonde', 'dumb_blonde', 'dumb_blonde', 'dumb_blonde', 'dumb_blonde', 'dumb_blonde']"
"Bounty hunter Ben Brigade  captures wanted outlaw Billy John , who brags that his brother Frank  will never allow Brigade to take Billy John to justice in Santa Cruz, California. Along the way, Brigade comes to the rescue of a woman, Carrie Lane , whom he and a pair of unwelcome new partners, gunmen Sam Boone  and his friend Whit , take along toward safety. But Brigade knows that the reward on Billy John's head is the real motive behind Sam's and Whit's arrival, and that outlaw leader Frank won't be far behind.","['bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter']"
"After a bank robbery, the responsible gang stops by the home of one of their members and to take his son as a hostage. The sheriff  calls for the help of a retired gunfighter , who is also the boy's grandfather. Hot on their trail, they find there are two bounty hunters also after the gang for crimes in Mexico.","['bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter']"
"Waveriders focuses on the Irish roots of surfing. The film covers the life of Irish-Hawaiian surfer George Freeth and his influence in popularizing surfing{{cite news}} in California and his contributions to lifeguarding. It also follows Irish, British and American surfers Richie Fitzgerald, Gabe Davies, Kelly Slater and the Malloy Brothers. The surfers conquer enormous sixty foot waves - the biggest swell to have been ridden off the Irish Atlantic Coast.<ref namehttp://www.independent.ie/lifestyle/red-bulletin/riding-green-giants-1810176.html |titleindependent |date2010-01-21}} Irish surfer Easkey Britton is also featured in the film and was the first female surfer to ride the ""big wave"", Aill na Searrach off the Cliffs of Moher in 2007.""The surfer girl who's making big waves"", Independent, August 12, 2009","['surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude']"
"A group of people go around catching people who have skipped out on paying bail or have a bounty on their heads. One night the group, consisting of Jules , Chase , and Ridley , catches an informant with a $100,000 bounty. A mobster who wants this man more, offers the group a million dollars to turn the informant over to him.","['bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter', 'bounty_hunter']"
"A revenge melodrama about a criminal whose wife is killed during his arrest. After serving 20 years in prison he attempts to kill the arresting officer's wife out of revenge, but fails and is again imprisoned.Synopsis from {{cite web}}","['revenge', 'revenge', 'revenge', 'revenge', 'revenge', 'revenge']"
"Loser Ben Harris , an alienated mailman, decides to get a girl the only way he can — by kidnapping her. Putting his plan into operation one rainy night, he spots an attractive young woman. He races ahead of her and prepares an ambush. However, his would-be target finds shelter from the downpour and he ends up pulling a bag down over Gloria Fiske  instead. When he carries her back to his basement apartment and removes the bag, he is dumbfounded to find he has captured a middle-aged housewife. With no alternative, he makes do with the person he has caught, but she proves to be not quite what he envisioned.","['loser_protagonist', 'loser_protagonist', 'loser_protagonist', 'loser_protagonist', 'loser_protagonist', 'loser_protagonist']"
"A mysterious mirror is found hidden in a church orphanage, yet few realize its legacy of evil. When an innocent teen  discovers that she is being stalked by her evil stepsister , the mirror's demonic power is again unleashed. As the mirror gains strength from the blood of the damned, the ultimate battle between good and evil begins.","['pupil_turned_to_evil', 'pupil_turned_to_evil']"
"The story follows three surfers Jody Wallis ([[Fabian , Steamer Lane  and Chase Colton ([[Peter Brown , who come to Hawaii's Oahu Island to ride the world's biggest waves and compete against surfers from all over the world. Steamer falls in love with Lily Kilua , whose mother objects to the romance because she considers surfers to be ""beach bums,"" since her husband--a surfer--left home and family to follow the surf circuit. Self-described college dropout and surf bum Jody falls for the demure Brie Matthews , who challenges him to return to college. In the case of the relatively straight-laced Chase, he finds himself pursued by the adventurous Augie Poole . The main story, though, is the challenge to surf the monster waves at Waimea Bay, and fit in among the champion surfers there such as Eskimo . Despite conflicts, injuries and rocky romances, Wallis, Chase and Steamer prove themselves brave—or crazy—enough to try to be the last one to ride in the highest wave.","['surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude']"
"Two people steal the daughter of a famous lawyer. They want money to give her back, but it's not just the money they want. They want revenge.","['revenge', 'revenge', 'revenge', 'revenge', 'revenge', 'revenge']"
"The movie begins with Doctor Stoner  selling a strange large 'snake' to a carnival man . College student David Blake  is hired as an assistant by Stoner, an ophiologist. It transpires that Stoner's previous assistant had mysteriously left town without telling anyone . Stoner begins David on a course of injections, purportedly as a safeguard against being bitten by a snake in his care. David's skin starts to change and even peel like a snakeskin. David begins a romance with Stoner's daughter Kristina , although her father objects and insists that she does not have any sexual relations with him. David becomes increasingly perturbed by the strange side effects of the injections. Kristina visits a carnival freak show and is alarmed that the ""snakeman"" bears an uncanny resemblance to Stoner's previous assistant. She leaves in terror and heads back to save David who is currently mutating into a cobra. David starts to turn green, suffers breathing problems and develops scales on his body. Stoner is bitten by the original cobra and killed instantly, after David's transformation is complete. The new cobra  is finally killed by a mongoose when he tries to escape. Kristina arrives home and finds her father killed with the original cobra next to him. At the same time the police arrive, and shoot the original cobra, before heading to the lab where the mongoose is attacking David's neck, attempting to kill him. The police do not have a clear shot, as Kristina screams David's name...","['stoner', 'stoner', 'stoner', 'stoner', 'stoner', 'stoner', 'stoner', 'stoner', 'stoner', 'stoner', 'stoner', 'stoner', 'stoner']"
"An employee detects a pharmaceutical company's sinister plan within the executive office, he will be wiped out and his entire family. Only his son Brian survived, although it was rammed in a drill into the skull and recognizes only one thought: revenge!","['revenge', 'revenge', 'revenge', 'revenge', 'revenge', 'revenge']"
A business man's son  has to choose between playing for his father's team and their rivals in a football match. He does the right thing and romantically impresses his father's secretary.,"['father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men', 'father_to_his_men']"
A young Psychology student is recruited by St. Andrews Mental Hospital and given the chance to care for mentally ill patients. His enthusiasm for his new job soon changes into concern when some of the patients die mysteriously and the behaviour of his colleagues becomes odd. He soon realises that a Devil has taken over the minds of the patients and that his colleagues are allowing it to harvest them.,"['psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire']"
" The film begins with a historical overview, starting at its Hawaiian beginnings, then moves on to focus on the dangerous lure of big wave surfing . The documentary chronicles the evolution of riding at Hawaii's Waimea Bay in the 1950s, the revolution of lighter boards, and tow-in surfing to allow for ""riding giants"". Three surfers who are part of this multi-generational evolution are spotlighted: Greg Noll is shown as a fearless big wave rider during the 1950s and 60s; Jeff Clark who discovered Mavericks in Northern California and surfed there alone for years; and Laird Hamilton, the contemporary surfer who brings tow-in riding to the limelight.","['surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude', 'surfer_dude']"
